plan_code,name,category_code,day_plan,trawellTag_option,annual_plan,country_code
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,FIT Smart Asia Plan,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,3
02eb3430-22a1-4b72-9f6a-2943b4180bb7,FIT Saver 50K Including,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,1
b0995c45-26a0-4fb9-b0df-07427662cc21,FIT Smart 50K Including,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,1
3116d14d-1c04-4af9-a32b-86ef5f949d8e,FIT Saver 50K Excluding,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,2
78ac482c-a158-4f3f-bd2d-328212f48814,FIT Saver 250K Including,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,1
a529ead1-fe15-4d45-988c-c1b6ca143822,AB Test Saver 50K Including,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,1
6261df93-b406-47d4-a3de-aff5f787a53f,AB Test Saver 50K Excluding,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,2
c1be18cb-b35f-40a5-a2b0-acba16a60f25,AB Test Saver 250K Including,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,1
0240b525-c61e-4f55-b6c3-69da174f5dc6,AB Test Saver 5 Lac Including,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,1
e5aae449-2139-4e2f-af44-ee30731774ff,AB Test Saver 250K Excluding,6b123144-2e3a-490e-baeb-b59f09327b7c,False,False,False,2
6e6a5880-54dd-4846-bb64-d8bb7de38099,Axa Smart Domestic Plan,de5ee71c-098f-4cc0-b486-e69391cc9fa8,False,False,False,4
2f03957f-d22a-4a98-a46d-66285752bc2a,Axa Status Domestic Plan,de5ee71c-098f-4cc0-b486-e69391cc9fa8,False,False,False,4
