plan_code,rider_code,trawell_assist_charges_percent
2f03957f-d22a-4a98-a46d-66285752bc2a,fda13096-9584-438b-b67c-3271c649c1e7,50.00
2f03957f-d22a-4a98-a46d-66285752bc2a,63a0dbb9-90ef-4e52-9ed1-0c5c36e2eb9d,50.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,592ca994-b318-4375-8a95-42d50f1c6f06,15.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,ed163d28-8d51-471f-b6a5-d16d08761f0a,12.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,f9400be4-932b-4c6f-82a8-dadd434fadaf,8.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,20c2a442-ad82-4619-a6ee-a2797504492d,5.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,90564253-958e-4ede-9a7e-7d1801e61b01,10.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,7c8212eb-a27d-4529-9dad-d61877d28822,5.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,e2e03200-4c83-4492-8907-c48a1fc1dfff,12.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,f58e04fa-bd41-4690-a8ef-e1c56d6385c0,10.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,3c9c9025-1f9f-4d0b-acbd-588edeadc052,5.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,10cdd4f7-1517-45b4-9b08-a95c4d3e291a,10.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,2ac3dc28-749f-47ef-bbd6-6635ed7c9d83,5.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,fbe495cc-525f-4c96-818c-0d68143fcc9a,3.00
b0995c45-26a0-4fb9-b0df-07427662cc21,53598818-171e-483f-94e6-0b1c30084411,5.00
b0995c45-26a0-4fb9-b0df-07427662cc21,9e7bed8f-8b27-4f56-8804-ddc2fec2b3fd,15.00
b0995c45-26a0-4fb9-b0df-07427662cc21,bf4f0372-155c-4bcb-bdd7-83743af2aef2,12.00
b0995c45-26a0-4fb9-b0df-07427662cc21,d2c0cc71-dca1-411c-9de9-cd7a4d6ba1b7,10.00
b0995c45-26a0-4fb9-b0df-07427662cc21,d788f8f5-2eb9-4e2a-b04d-740ad17fc111,8.00
b0995c45-26a0-4fb9-b0df-07427662cc21,46789cb9-e98f-4deb-b04a-dda13c435652,40.00
b0995c45-26a0-4fb9-b0df-07427662cc21,47ebcf73-aedb-4236-bd67-170b59071fbd,5.00
b0995c45-26a0-4fb9-b0df-07427662cc21,44242ec7-aaa4-4470-855e-6096c053df86,3.00
b0995c45-26a0-4fb9-b0df-07427662cc21,30d471b3-a695-4c48-abd0-ef16dc6a2fc5,3.00
b0995c45-26a0-4fb9-b0df-07427662cc21,918bb577-741f-4e99-9e02-acfb0b3d6efd,3.00
b0995c45-26a0-4fb9-b0df-07427662cc21,61d6e81f-a39a-46e6-a273-3f34de4996d5,10.00
b0995c45-26a0-4fb9-b0df-07427662cc21,8c3b69d5-d729-4cb3-a20e-ceb085ee0afc,5.00
b0995c45-26a0-4fb9-b0df-07427662cc21,6fbe20f1-952b-4313-9804-18f3a645e91b,3.00
3116d14d-1c04-4af9-a32b-86ef5f949d8e,85b7c931-56fd-4c52-bf75-5dfb47d75e0f,12.00
3116d14d-1c04-4af9-a32b-86ef5f949d8e,577ed43a-b41b-4551-b4d8-37ea0b16d22b,10.00
3116d14d-1c04-4af9-a32b-86ef5f949d8e,357450e6-805d-4ba3-9cdf-99eee8da740d,5.00
3116d14d-1c04-4af9-a32b-86ef5f949d8e,333e4c7d-3132-4892-948e-71133e7cefb0,10.00
3116d14d-1c04-4af9-a32b-86ef5f949d8e,cc88ef79-0857-41b2-a0c1-05cd866dfd3b,5.00
3116d14d-1c04-4af9-a32b-86ef5f949d8e,4960f904-d2ea-420b-8f51-07fd7868fde9,3.00
78ac482c-a158-4f3f-bd2d-328212f48814,a19212e5-64b5-4164-801b-091a4a02c047,12.00
78ac482c-a158-4f3f-bd2d-328212f48814,34ec8058-44b7-44f7-9674-acb4d21f9459,10.00
78ac482c-a158-4f3f-bd2d-328212f48814,d9972df9-c6e8-4ec1-a0fb-fd1d21782cd3,5.00
78ac482c-a158-4f3f-bd2d-328212f48814,63ce6ce1-b2fc-48f3-98bc-1fc058104eb9,10.00
78ac482c-a158-4f3f-bd2d-328212f48814,2e2b3539-bd97-4a09-932a-e092f88c08a0,5.00
78ac482c-a158-4f3f-bd2d-328212f48814,2df9a6d2-cf8f-40d3-971d-e088b11e9360,3.00
e5aae449-2139-4e2f-af44-ee30731774ff,a1773c35-729c-4475-b660-c14f519d7f06,30.00
