plan_code,age_limit,day_limit,premium
6e6a5880-54dd-4846-bb64-d8bb7de38099,30,30,135.00
6e6a5880-54dd-4846-bb64-d8bb7de38099,75,30,203.00
6e6a5880-54dd-4846-bb64-d8bb7de38099,80,30,270.00
6e6a5880-54dd-4846-bb64-d8bb7de38099,30,60,250.00
6e6a5880-54dd-4846-bb64-d8bb7de38099,75,60,260.00
6e6a5880-54dd-4846-bb64-d8bb7de38099,80,60,270.00
2f03957f-d22a-4a98-a46d-66285752bc2a,70,30,390.00
2f03957f-d22a-4a98-a46d-66285752bc2a,75,30,585.00
2f03957f-d22a-4a98-a46d-66285752bc2a,80,30,781.00
2f03957f-d22a-4a98-a46d-66285752bc2a,70,60,390.00
2f03957f-d22a-4a98-a46d-66285752bc2a,75,60,585.00
2f03957f-d22a-4a98-a46d-66285752bc2a,80,60,781.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,4,477.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,4,580.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,4,868.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,5,521.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,5,657.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,5,960.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,6,561.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,6,679.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,6,1037.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,7,634.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,7,699.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,7,1073.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,9,673.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,9,786.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,9,1138.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,11,711.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,11,823.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,11,1175.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,13,718.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,13,835.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,13,1213.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,20,802.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,20,854.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,20,1320.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,29,815.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,29,943.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,29,1456.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,40,30,923.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,60,30,1052.00
f2534505-3f0b-4eff-96af-cc1f6cdd41c9,70,30,1777.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,40,4,873.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,60,4,973.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,70,4,1489.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,72,4,2382.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,74,4,2549.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,76,4,2822.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,78,4,3641.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,80,4,4006.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,85,4,6009.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,90,4,8012.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,40,6,966.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,60,6,1078.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,70,6,1649.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,72,6,2638.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,74,6,2791.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,76,6,2989.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,78,6,4076.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,80,6,4483.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,85,6,6725.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,90,6,8967.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,40,8,1091.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,60,8,1218.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,70,8,1830.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,72,8,2925.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,74,8,3008.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,76,8,3209.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,78,8,4260.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,80,8,4685.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,85,8,7029.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,90,8,9372.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,40,12,1234.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,60,12,1430.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,70,12,2325.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,72,12,3720.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,74,12,3769.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,76,12,4152.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,78,12,4844.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,80,12,5329.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,85,12,7993.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,90,12,10657.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,40,14,1407.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,60,14,1491.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,70,14,2363.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,72,14,3947.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,74,14,4064.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,76,14,4738.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,78,14,5487.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,80,14,6035.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,85,14,9053.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,90,14,12070.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,40,21,1578.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,60,21,1752.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,70,21,3245.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,72,21,4773.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,74,21,4833.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,76,21,5534.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,78,21,6157.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,80,21,6773.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,85,21,10158.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,90,21,13548.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,40,28,1956.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,60,28,2248.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,70,28,3944.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,72,28,5836.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,74,28,5967.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,76,28,6287.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,78,28,7882.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,80,28,8671.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,85,28,13006.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,90,28,17340.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,40,35,2337.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,60,35,2654.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,70,35,4636.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,72,35,6491.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,74,35,7052.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,76,35,7204.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,78,35,9697.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,80,35,10668.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,85,35,16001.00
02eb3430-22a1-4b72-9f6a-2943b4180bb7,90,35,21334.00
